Company Name,Company Category,Date,Resolution Status,Rating (out of 10),original,Deceptive Patterns,Type
Fruugo,International Marketplaces,7/16/2024,Resolved,9,"Purchase of a helmet, confusion during payment process",0,0
Fruugo,International Marketplaces,10/7/2024,Resolved,2,Items not received,1,Not Deceptive
Fruugo,International Marketplaces,6/19/2024,Resolved,7,Paid order not received,0,0
Fruugo,International Marketplaces,5/21/2024,Resolved,9,Returned item not processed,0,0
Fruugo,International Marketplaces,3/4/2024,Unresolved,1,Order confirmed but not received,0,0
Fruugo,International Marketplaces,1/4/2024,Unresolved,5,Received faulty phone from Fruugo,0,0
Fruugo,International Marketplaces,10/3/2024,Unresolved,2,"Ordered microwave, never received",0,0
Fruugo,International Marketplaces,6/3/2024,Resolved,6,"Ordered microwave, received wrong item, no refund provided",1,Bait and switch
Fruugo,International Marketplaces,5/3/2024,Resolved,1,"Received damaged phone, refund not processed",0,0
Fruugo,International Marketplaces,4/2/2024,Resolved,1,"Order cancelled, full refund processed",0,0
Fruugo,International Marketplaces,1/2/2024,Unresolved,1,"Order not delivered, no response from support",0,0
Fruugo,International Marketplaces,1/31/2024,Resolved,1,Refund not processed after product return,0,0
Fruugo,International Marketplaces,1/19/2024,Unresolved,1,"Order never arrived, no response from support",0,0
Fruugo,International Marketplaces,1/17/2024,Unresolved,9,"Returned tablet, no response from Fruugo",0,0
Fruugo,International Marketplaces,1/16/2024,Unresolved,10,Order not received,0,0
Fruugo,International Marketplaces,5/1/2024,Unresolved,1,Order did not match description,1,Bait and switch
Fruugo,International Marketplaces,12/18/2023,Unresolved,1,"Waiting for order, no response from support",0,0
Fruugo,International Marketplaces,12/15/2023,Resolved,1,Order didn't arrive.,0,0
Fruugo,International Marketplaces,12/14/2023,Resolved,1,Order not received after 30 days.,0,0
Fruugo,International Marketplaces,12/13/2023,Resolved,1,"Tracking error, delivery not received.",0,0
Fruugo,International Marketplaces,12/13/2023,Resolved,7,"No delivery, tracking error.",0,0
Fruugo,International Marketplaces,11/29/2023,Unresolved,3,"No delivery, tracking error for Hugo Boss sunglasses.",0,0
Fruugo,International Marketplaces,11/21/2023,Unresolved,1,"Product not delivered, no response from support.",0,0
Fruugo,International Marketplaces,11/16/2023,Resolved,1,Payment refund issue.,0,0
Fruugo,International Marketplaces,11/10/2023,Unresolved,1,"Paid but product not received, feels like fraud.",1,Bait and switch
Fruugo,International Marketplaces,11/8/2023,Resolved,1,"Delivery failure, order not received.",0,0
Fruugo,International Marketplaces,11/8/2023,Resolved,1,"Fraud complaint, order cancelled and not refunded.",0,0
Fruugo,International Marketplaces,10/13/2023,Resolved,1,"No delivery, order status stuck in processing.",0,0
Fruugo,International Marketplaces,10/4/2023,Resolved,7,"Order not received on time, poor service.",0,0
Fruugo,International Marketplaces,10/1/2023,Unresolved,1,Order not shipped after payment.,0,0
Fruugo,International Marketplaces,9/4/2023,Unresolved,1,"No delivery, can't track order.",0,0
Fruugo,International Marketplaces,8/6/2023,Unresolved,1,"Bought phones, no response for repair or return.",0,0
Fruugo,International Marketplaces,8/5/2023,Unresolved,1,"Malfunctioning phones, no support.",0,0
Fruugo,International Marketplaces,7/13/2023,Unresolved,1,"Order was incorrect, missing product.",0,0
Fruugo,International Marketplaces,6/23/2023,Unresolved,1,Paid but never received the order.,0,0
Fruugo,International Marketplaces,6/11/2023,Unresolved,1,"Delivery not met on 30/05/2023, no response.",0,0
Fruugo,International Marketplaces,6/9/2023,Resolved,4,"Order not received, suspected fraud.",0,0
Fruugo,International Marketplaces,5/25/2023,Unresolved,1,"Ordered lens for night photos, received wrong item.",1,Bait and switch
Fruugo,International Marketplaces,5/22/2023,Resolved,7,Order not received after 3 months.,0,0
Fruugo,International Marketplaces,5/19/2023,Unresolved,1,Product received defective.,1,Bait and switch
Fruugo,International Marketplaces,5/14/2023,Unresolved,1,"Paid order never received, felt like fraud.",0,0
Fruugo,International Marketplaces,5/8/2023,Unresolved,1,"No delivery, no response to complaints.",0,0
Fruugo,International Marketplaces,5/7/2023,Unresolved,1,"Order missing for over a month, no way to complain.",0,0
Fruugo,International Marketplaces,5/4/2023,Unresolved,1,"Order not delivered by 26/04/2023, no updates.",0,0
Fruugo,International Marketplaces,4/26/2023,Resolved,1,"Received wrong phone, resolution offered at extra cost.",1,Bait and switch
Fruugo,International Marketplaces,4/24/2023,Unresolved,1,Damaged product received.,0,0
Fruugo,International Marketplaces,4/22/2023,Unresolved,1,Received used items instead of new.,1,Bait and switch
Fruugo,International Marketplaces,4/22/2023,Resolved,4,"Delivery delayed, not as promised.",0,0
Fruugo,International Marketplaces,4/21/2023,Unresolved,1,"Ordered phone, received incorrect item.",1,Bait and switch
Fruugo,International Marketplaces,4/21/2023,Resolved,1,"Wrong item delivered, no refund.",0,0
Fruugo,International Marketplaces,4/11/2023,Resolved,3,"Missing items in order, partial delivery.",0,0
Fruugo,International Marketplaces,4/3/2023,Resolved,5,Thermostats ordered but never delivered.,0,0
Fruugo,International Marketplaces,3/29/2023,Resolved,1,"Received wrong phone model, agreed to exchange for a drone.",0,0
Fruugo,International Marketplaces,3/18/2023,Resolved,1,Waiting for drone exchange for wrong phone.,0,0
Fruugo,International Marketplaces,3/13/2023,Unresolved,1,Paid order not received.,0,0
Fruugo,International Marketplaces,3/2/2023,Unresolved,1,"Damaged thermometers received, not working.",0,0
Fruugo,International Marketplaces,2/25/2023,Unresolved,3,"Order paid but not received, wrong delivery.",0,0
Fruugo,International Marketplaces,2/23/2023,Resolved,5,"No response after 2 days, order still unresolved.",0,0
Fruugo,International Marketplaces,2/21/2023,Unresolved,1,"Wrong items in order, missing accessories.",0,0
Fruugo,International Marketplaces,2/15/2023,Resolved,8,"Order delayed, expected for daughter's birthday.",0,0
Fruugo,International Marketplaces,2/14/2023,Unresolved,10,"No delivery or response, redirected to Chinese tracking site.",0,0
Fruugo,International Marketplaces,2/11/2023,Resolved,5,"Fraudulent order, poor experience despite high reviews.",0,0
Fruugo,International Marketplaces,2/9/2023,Resolved,1,"No refund, no delivery date provided.",0,0
Fruugo,International Marketplaces,2/6/2023,Unresolved,1,"Order never received, false delivery claims.",0,0
Fruugo,International Marketplaces,2/4/2023,Unresolved,1,"Ordered electric secateurs not received by Feb 5, 2023.",0,0
Fruugo,International Marketplaces,1/30/2023,Resolved,2,"Wrong item shipped, no way to return.",0,0
Fruugo,International Marketplaces,1/26/2023,Resolved,10,Reimbursement processed after cancellation.,0,0
Fruugo,International Marketplaces,1/26/2023,Unresolved,1,"Order placed on Dec 25, 2022, never received.",0,0
Fruugo,International Marketplaces,1/20/2023,Unresolved,1,"Received wrong product, not as shown on the site.",1,Bait and switch
Fruugo,International Marketplaces,1/17/2023,Unresolved,2,Order not received as promised within 48 hours.,1,Bait and switch
Fruugo,International Marketplaces,1/16/2023,Resolved,1,"Order placed on Dec 20, 2022, delayed, no updates.",0,0
Fruugo,International Marketplaces,1/12/2023,Unresolved,1,"Ordered phone, returned due to poor quality.",0,0
Fruugo,International Marketplaces,1/11/2023,Unresolved,1,"Razor blades faulty, very noisy, unusable.",0,0
Fruugo,International Marketplaces,1/9/2023,Unresolved,1,"Umbrella broken, doesn't close.",0,0
Fruugo,International Marketplaces,1/6/2023,Unresolved,1,Order confirmed but not delivered before year-end.,0,0
Fruugo,International Marketplaces,1/6/2023,Unresolved,1,"No response on order delivery, issues with customer service.",0,0
Fruugo,International Marketplaces,12/29/2022,Resolved,5,"Waiting since Dec 13, 2022, no delivery yet.",0,0
Fruugo,International Marketplaces,12/28/2022,Resolved,5,"Paid for product, received incorrect item.",1,Bait and switch
Fruugo,International Marketplaces,12/27/2022,Unresolved,1,"No response to claim, order cancelled without reason.",0,0
Fruugo,International Marketplaces,12/20/2022,Resolved,1,"No refund after payment, poor customer service.",0,0
Fruugo,International Marketplaces,12/15/2022,Resolved,1,"Paid for phone, no response, unethical practices.",0,0
Fruugo,International Marketplaces,12/14/2022,Resolved,7,"No tracking number, customer service poor, late delivery.",0,0
Fruugo,International Marketplaces,12/12/2022,Unresolved,1,Order cancelled 24 hours after payment with no explanation.,0,0
Fruugo,International Marketplaces,12/11/2022,Unresolved,1,"Order cancelled 24 hours after payment, no explanation.",0,0
Fruugo,International Marketplaces,12/11/2022,Resolved,5,"Returned product, no refund received, bad customer service.",0,0
Fruugo,International Marketplaces,12/8/2022,Unresolved,1,"Product never received, no contact from Fruugo.",1,Not Deceptive
Fruugo,International Marketplaces,12/6/2022,Unresolved,1,"Returned item, no refund after 19-day delay in delivery.",0,0
Fruugo,International Marketplaces,11/30/2022,Unresolved,5,"Order never arrived, no refund provided.",0,0
Fruugo,International Marketplaces,11/23/2022,Resolved,1,"Cancelled order, no refund sent despite repeated requests.",0,0
Fruugo,International Marketplaces,11/23/2022,Unresolved,1,"Order cancelled without refund, despite multiple requests.",0,0
Fruugo,International Marketplaces,11/22/2022,Resolved,1,"Received the wrong phone model, but issue resolved.",0,0
Fruugo,International Marketplaces,11/17/2022,Resolved,1,"Received the wrong phone model, issue pending resolution.",0,0
Fruugo,International Marketplaces,11/5/2022,Unresolved,1,"Misleading advertisement about product availability, causing disappointment.",1,Bait and switch
Fruugo,International Marketplaces,10/17/2022,Resolved,6,"Missing item from an order, but issue resolved after contacting support.",0,0
Fruugo,International Marketplaces,10/4/2022,Resolved,6,"Missing item and lack of invoice, but resolved after contacting the seller.",0,0
Fruugo,International Marketplaces,9/19/2022,Unresolved,1,Refund not received after order cancellation.,0,0
Fruugo,International Marketplaces,8/11/2022,Resolved,1,No refund received after issue with incomplete address.,0,0
Fruugo,International Marketplaces,7/31/2022,Unresolved,10,"Misleading advertisement, wrong product delivered.",1,Bait and switch
Fruugo,International Marketplaces,7/29/2022,Unresolved,1,"Product arrived damaged, lacking information on resolution.",0,0
Fruugo,International Marketplaces,7/28/2022,Unresolved,1,Received wrong product and unable to resolve the issue.,0,0
Fruugo,International Marketplaces,7/7/2022,Unresolved,1,"Issue with unclear order status, no contact details to resolve.",0,0
Fruugo,International Marketplaces,7/6/2022,Resolved,4,"Missing order received, but resolved after contacting the seller.",0,0
Fruugo,International Marketplaces,6/28/2022,Resolved,1,"Wrong product delivered, but resolved with communication from Fruugo.",0,0
Fruugo,International Marketplaces,6/23/2022,Resolved,3,"Order without updates, but communication was made and issue resolved.",0,0
Fruugo,International Marketplaces,6/22/2022,Unresolved,5,"No updates or delivery tracking received, and order was delayed.",0,0
Fruugo,International Marketplaces,6/20/2022,Unresolved,1,No response after multiple complaints regarding a canceled order and no refund.,0,0
Fruugo,International Marketplaces,6/9/2022,Unresolved,1,"Bought a mobile for €189, never delivered, address issue, no contact made.",0,0
Fruugo,International Marketplaces,6/9/2022,Resolved,1,"Order placed on 12/05/2022, still not delivered, no updates received.",0,0
Fruugo,International Marketplaces,6/7/2022,Unresolved,1,"Received faulty charger, phone also damaged.",0,0
Fruugo,International Marketplaces,5/22/2022,Unresolved,1,"Order placed on 3 May, not received, no further updates.",0,0
Fruugo,International Marketplaces,5/14/2022,Resolved,1,"Order placed on 27 March, no updates received, contacted support.",0,0
Fruugo,International Marketplaces,5/5/2022,Resolved,6,"Order placed, expected delivery between 18-31 March, but delayed.",0,0
Fruugo,International Marketplaces,4/29/2022,Unresolved,5,"No legal invoice received for a product purchased, unclear details about taxes.",0,0
Fruugo,International Marketplaces,4/17/2022,Unresolved,1,"Ordered a trampoline, but half of the parts were missing.",0,0
Fruugo,International Marketplaces,4/4/2022,Unresolved,5,"Ordered a child’s costume for carnival, delayed by 25 days, customer support unavailable at the time.",0,0
Fruugo,International Marketplaces,3/29/2022,Resolved,3,"Ordered nasal dilator, but received a faulty item, issue resolved.",0,0
Fruugo,International Marketplaces,3/17/2022,Unresolved,1,"Ordered a mobile, but requested refund not processed, seller claimed no refund received.",0,0
Fruugo,International Marketplaces,1/28/2022,Resolved,1,"Ordered a mobile phone case, never received a tracking number, delayed beyond expected delivery date.",0,0
Fruugo,International Marketplaces,1/17/2022,Unresolved,1,"Ordered from Fruugo, but it turned out to be a fraudulent company, no resolution.",0,0
Fruugo,International Marketplaces,1/13/2022,Unresolved,7,"Ordered three micro-needling rollers, only received one, no update from customer support.",0,0
Fruugo,International Marketplaces,1/4/2022,Unresolved,2,"Ordered on 9 December, due for delivery by 30 December, still not received by 4 January.",0,0
Shein,International Marketplaces,11/28/2024,Resolved,10,"Delayed order, no update received.",0,0
Shein,International Marketplaces,11/24/2024,Resolved,5,Order placed on 29 Oct not delivered by 24 Nov.,0,0
Shein,International Marketplaces,11/23/2024,Resolved,10,"Order delayed, no update after 29 Oct.",0,0
Shein,International Marketplaces,11/19/2024,Resolved,9,"Order delayed from 30 Oct, lack of communication.",0,0
Shein,International Marketplaces,11/18/2024,Resolved,1,"Fraudulent transaction, payment processed incorrectly.",0,0
Shein,International Marketplaces,11/13/2024,Resolved,1,Payment issue for order placed on 5 Oct.,0,0
Shein,International Marketplaces,11/12/2024,Resolved,3,"Order not delivered, no resolution from customer service.",0,0
Shein,International Marketplaces,10/13/2024,Resolved,3,"Delay in delivery, order not received after payment.",0,0
Shein,International Marketplaces,10/8/2024,Unresolved,7,"No delivery by 8 Oct, no communication from courier.",0,0
Shein,International Marketplaces,10/7/2024,Unresolved,1,"No response from Shein, expecting refund.",0,0
Shein,International Marketplaces,10/7/2024,Resolved,5,Delayed refund processing.,0,0
Shein,International Marketplaces,9/16/2024,Resolved,7,"Delay in order, continuous rescheduling.",0,0
Shein,International Marketplaces,9/13/2024,Resolved,8,"Wrong payment amount, Shein refuses refund.",0,0
Shein,International Marketplaces,8/30/2024,Resolved,1,"Product not received, no refund issued.",0,0
Shein,International Marketplaces,8/29/2024,Unresolved,1,"No refund, product not received.",1,Not Deceptive
Shein,International Marketplaces,8/20/2024,Unresolved,8,"Payment problems, company holds back refund.",0,0
Shein,International Marketplaces,8/19/2024,Resolved,1,"Incomplete order, only 1 out of 5 items delivered.",0,0
Shein,International Marketplaces,8/5/2024,Resolved,1,"No refund for returned items, customer dissatisfied.",0,0
Shein,International Marketplaces,8/4/2024,Resolved,7,"Received damaged jeans, refund request submitted but no resolution.",0,0
Shein,International Marketplaces,8/1/2024,Resolved,7,Order not received on time despite urgent shipping request.,0,0
Shein,International Marketplaces,7/31/2024,Resolved,1,"No refund after returning product, multiple complaints made.",0,0
Shein,International Marketplaces,7/30/2024,Resolved,7,"Returned shoes, no refund received after 15 days.",0,0
Shein,International Marketplaces,7/22/2024,Unresolved,4,"Payment issues with Klarna, received wrong items.",1,Bait and switch
Shein,International Marketplaces,7/20/2024,Resolved,6,"Order marked delivered but was not received, no response from Shein.",0,0
Shein,International Marketplaces,7/19/2024,Resolved,10,"No confirmation for payment, but order was processed and paid.",0,0
Shein,International Marketplaces,7/13/2024,Resolved,6,"Received wrong items from the order, poor customer service.",0,0
Shein,International Marketplaces,7/12/2024,Unresolved,1,"Order paid but never delivered, no updates from Shein.",0,0
Shein,International Marketplaces,7/9/2024,Unresolved,1,"Received used clothes, part of the order damaged.",0,0
Shein,International Marketplaces,7/6/2024,Resolved,9,"Cancellation issue, tried to reorder with same item, payment was problematic.",0,0
Shein,International Marketplaces,7/5/2024,Resolved,6,Trouble with returning a dress due to label removal.,0,0
Shein,International Marketplaces,7/3/2024,Unresolved,1,"Received incorrect product, no support for resolution.",0,0
Shein,International Marketplaces,7/2/2024,Unresolved,1,Received defective product (broken hair clip).,1,Bait and switch
Shein,International Marketplaces,7/2/2024,Resolved,5,"Delivery failure due to GLS issues, no responsibility taken by Shein.",0,0
Shein,International Marketplaces,6/28/2024,Unresolved,1,"Paid for surprise box, never received any update or product.",1,Not Deceptive
Shein,International Marketplaces,6/27/2024,Unresolved,10,Waiting for reimbursement of €25.43 for returned damaged shoes.,0,0
Shein,International Marketplaces,6/26/2024,Unresolved,8,"Ordered duplicate items, billing issues for returned items.",0,0
Shein,International Marketplaces,6/21/2024,Resolved,5,Customer initiated a refund request for clothing; delays in processing return.,0,0
Shein,International Marketplaces,6/18/2024,Unresolved,1,Customer did not receive a refund after returning items; no resolution.,0,0
Shein,International Marketplaces,6/18/2024,Resolved,10,"Customer faced delay in receiving order, issue resolved satisfactorily.",0,0
Shein,International Marketplaces,6/13/2024,Resolved,8,"Customer complained about failed delivery attempt, resolved after clarification.",0,0
Shein,International Marketplaces,6/6/2024,Resolved,8,"Customer paid for an order but did not receive confirmation or delivery, resolved after follow-up.",0,0
Shein,International Marketplaces,5/30/2024,Unresolved,1,"Customer reported a fraud claim for a missing order of 222€, unresolved.",0,0
Shein,International Marketplaces,5/28/2024,Unresolved,1,Customer faced difficulty in contacting Shein’s support; no resolution provided.,0,0
Shein,International Marketplaces,5/21/2024,Resolved,9,"Customer requested to return a pair of casual pants, but faced difficulty due to lack of information on how to proceed.",1,Obstruction
Shein,International Marketplaces,11/5/2024,Unresolved,1,Customer filed a fraud complaint after making a high-value order without receiving the goods.,0,0
Shein,International Marketplaces,11/5/2024,Unresolved,1,"Customer reported a duplicate payment for an order, but the issue was Unresolved.",0,0
Shein,International Marketplaces,9/5/2024,Resolved,6,Customer faced delivery issues with Paack; issue resolved after follow-up.,0,0
Shein,International Marketplaces,8/5/2024,Resolved,9,"Customer’s order had no updates from Shein or the courier, causing frustration, but issue resolved after clarification.",0,0
Shein,International Marketplaces,8/5/2024,Resolved,10,Customer had problems with delivery and lack of communication; resolved by Shein.,0,0
Shein,International Marketplaces,7/5/2024,Resolved,1,Customer's delivery time expired without receiving goods.,0,0
Shein,International Marketplaces,5/5/2024,Resolved,3,Paack failed to deliver the second part of the order; Shein didn't take responsibility.,0,0
Shein,International Marketplaces,4/5/2024,Resolved,5,Customer complained about poor quality of a wallet; Shein did not provide a satisfactory response despite multiple attempts.,0,0
Shein,International Marketplaces,2/5/2024,Unresolved,1,Customer returned items but did not receive the promised refund; Shein kept sending internal receipts with no resolution.,0,0
Shein,International Marketplaces,4/29/2024,Resolved,8,Customer’s payment was made but the order was canceled; issue resolved after contacting Shein customer service.,0,0
Shein,International Marketplaces,4/26/2024,Unresolved,7,"Customer received damaged items, including a mirror, but did not receive any resolution or proper explanation.",0,0
Shein,International Marketplaces,4/25/2024,Resolved,7,"Customer was refunded through a Shein wallet, but was unable to withdraw the funds.",0,0
Shein,International Marketplaces,4/25/2024,Resolved,5,Customer reported not receiving their order (GSONL423C000SRY) and filed a complaint.,0,0
Shein,International Marketplaces,4/22/2024,Resolved,4,"Customer complained about low-quality handbag, which showed signs of wear after little use.",0,0
Shein,International Marketplaces,4/19/2024,Resolved,2,Customer's handbag ripped shortly after purchase; Shein provided resolution.,0,0
Shein,International Marketplaces,4/16/2024,Unresolved,10,Customer received defective glasses with damaged screws; no resolution provided.,0,0
